"ContestID","ContestName","NominatingParty","PartyCode","AreaType","AreaNum","OfficeSeqNo","BallotOrder","CandidateID","CandidateName","CurrentDateTime","VoteFor","CandidateVotes","CandidatePercentage","PrecinctsReporting","County"
100051746,"US Senator",NA,NA,NA,"Federal",1,NA,9901,"Write-in","11/15/2022 1:46:41 PM",1,54,0.00122903247832123,"0/1279,","Benton"
100051746,"US Senator","Democrat, Independent",NA,NA,"Federal",1,NA,300018095,"Ron Wyden","11/15/2022 1:46:41 PM",1,29187,0.664292054532626,"0/1279,","Benton"
100051746,"US Senator","Pacific Green",NA,NA,"Federal",1,NA,100085953,"Dan Pulju","11/15/2022 1:46:41 PM",1,646,0.0147028700184355,"0/1279,","Benton"
100051746,"US Senator","Progressive",NA,NA,"Federal",1,NA,100085955,"Chris Henry","11/15/2022 1:46:41 PM",1,986,0.0224412226597173,"0/1279,","Benton"
100051746,"US Senator","Republican, Constitution",NA,NA,"Federal",1,NA,100083988,"Jo Rae Perkins","11/15/2022 1:46:41 PM",1,13064,0.2973348203109,"0/1279,","Benton"
100051750,"US Representative, 4th District",NA,NA,NA,"US Representative 4th District",3,NA,9901,"Write-in","11/15/2022 1:46:41 PM",1,39,0.0008921014708237,"0/187,","Benton"
100051750,"US Representative, 4th District","Constitution",NA,NA,"US Representative 4th District",3,NA,100085960,"Jim Howard","11/15/2022 1:46:41 PM",1,572,0.0130841549054144,"0/187,","Benton"
100051750,"US Representative, 4th District","Democrat, Working Families",NA,NA,"US Representative 4th District",3,NA,100084008,"Val Hoyle","11/15/2022 1:46:41 PM",1,27339,0.625363131047419,"0/187,","Benton"
100051750,"US Representative, 4th District","Independent, Libertarian",NA,NA,"US Representative 4th District",3,NA,100085958,"Levi Leatherberry","11/15/2022 1:46:41 PM",1,1082,0.0247500972161859,"0/187,","Benton"
100051750,"US Representative, 4th District","Pacific Green, Progressive",NA,NA,"US Representative 4th District",3,NA,100085957,"Mike Beilstein","11/15/2022 1:46:41 PM",1,1217,0.0278381407690372,"0/187,","Benton"
100051750,"US Representative, 4th District","Republican",NA,NA,"US Representative 4th District",3,NA,100084003,"Alek Skarlatos","11/15/2022 1:46:41 PM",1,13468,0.30807237459112,"0/187,","Benton"
100051753,"Governor",NA,NA,NA,"Statewide Partisan",6,NA,9901,"Write-in","11/15/2022 1:46:41 PM",1,39,0.00088355233348436,"0/1279,","Benton"
100051753,"Governor","Constitution",NA,NA,"Statewide Partisan",6,NA,100085998,"Donice Noelle Smith","11/15/2022 1:46:41 PM",1,140,0.0031717263253285,"0/1279,","Benton"
100051753,"Governor","Democrat, Working Families",NA,NA,"Statewide Partisan",6,NA,100084063,"Tina Kotek","11/15/2022 1:46:41 PM",1,26441,0.599025826914363,"0/1279,","Benton"
100051753,"Governor","Libertarian",NA,NA,"Statewide Partisan",6,NA,100086000,"R Leon Noble","11/15/2022 1:46:41 PM",1,152,0.00344358858178523,"0/1279,","Benton"
100051753,"Governor","Nonaffiliated",NA,NA,"Statewide Partisan",6,NA,100086002,"Betsy Johnson","11/15/2022 1:46:41 PM",1,3098,0.0701857725419121,"0/1279,","Benton"
100051753,"Governor","Republican",NA,NA,"Statewide Partisan",6,NA,100084049,"Christine Drazan","11/15/2022 1:46:41 PM",1,14270,0.323289533303126,"0/1279,","Benton"
100051758,"State Senator, 8th District",NA,NA,NA,"SD 08",7,NA,9901,"Write-in","11/15/2022 1:46:41 PM",1,56,0.00161522930487453,"0/41,","Benton"
100051758,"State Senator, 8th District","Democrat, Independent, Working Families",NA,NA,"SD 08",7,NA,100043061,"Sara Gelser Blouin","11/15/2022 1:46:41 PM",1,24930,0.719065474473608,"0/41,","Benton"
100051758,"State Senator, 8th District","Republican",NA,NA,"SD 08",7,NA,100084074,"Valerie Draper Woldeit","11/15/2022 1:46:41 PM",1,9684,0.279319296221517,"0/41,","Benton"
100051784,"State Representative, 16th District",NA,NA,NA,"HD 16",7,NA,9901,"Write-in","11/15/2022 1:46:41 PM",1,63,0.00215819944503443,"0/12,","Benton"
100051784,"State Representative, 16th District","Democrat, Working Families",NA,NA,"HD 16",7,NA,100043108,"Dan Rayfield","11/15/2022 1:46:41 PM",1,21942,0.751670035284848,"0/12,","Benton"
100051784,"State Representative, 16th District","Republican",NA,NA,"HD 16",7,NA,100084210,"Keith Lembke","11/15/2022 1:46:41 PM",1,7186,0.246171765270117,"0/12,","Benton"
100051139,"Benton County, Commissioner, Position 1",NA,NA,NA,"Benton County",8,NA,9901,"Write-in","11/15/2022 1:46:41 PM",1,120,0.00280445908995303,"0/21,","Benton"
