"ContestID","ContestName","NominatingParty","PartyCode","AreaType","AreaNum","OfficeSeqNo","BallotOrder","CandidateID","CandidateName","CurrentDateTime","VoteFor","CandidateVotes","CandidatePercentage","PrecinctsReporting","County"
100051746,"US Senator",NA,NA,NA,"Federal",1,NA,9901,"Write-in","11/15/2022 1:46:49 PM",1,18,0.00132528346340745,"0/1279,","Crook"
100051746,"US Senator","Democrat, Independent",NA,NA,"Federal",1,NA,300018095,"Ron Wyden","11/15/2022 1:46:49 PM",1,3625,0.266897364158445,"0/1279,","Crook"
100051746,"US Senator","Pacific Green",NA,NA,"Federal",1,NA,100085953,"Dan Pulju","11/15/2022 1:46:49 PM",1,103,0.00758356648505375,"0/1279,","Crook"
100051746,"US Senator","Progressive",NA,NA,"Federal",1,NA,100085955,"Chris Henry","11/15/2022 1:46:49 PM",1,143,0.0105286408481814,"0/1279,","Crook"
100051746,"US Senator","Republican, Constitution",NA,NA,"Federal",1,NA,100083988,"Jo Rae Perkins","11/15/2022 1:46:49 PM",1,9693,0.713665145044912,"0/1279,","Crook"
100051748,"US Representative, 2nd District",NA,NA,NA,"US Representative 2nd District",2,NA,9901,"Write-in","11/15/2022 1:46:49 PM",1,17,0.00126704926585675,"0/370,","Crook"
100051748,"US Representative, 2nd District","Democrat",NA,NA,"US Representative 2nd District",2,NA,100083998,"Joe Yetter","11/15/2022 1:46:49 PM",1,2771,0.20652903033465,"0/370,","Crook"
100051748,"US Representative, 2nd District","Republican",NA,NA,"US Representative 2nd District",2,NA,100066698,"Cliff S Bentz","11/15/2022 1:46:49 PM",1,10629,0.792203920399493,"0/370,","Crook"
100051753,"Governor",NA,NA,NA,"Statewide Partisan",6,NA,9901,"Write-in","11/15/2022 1:46:49 PM",1,15,0.00109146474568871,"0/1279,","Crook"
100051753,"Governor","Constitution",NA,NA,"Statewide Partisan",6,NA,100085998,"Donice Noelle Smith","11/15/2022 1:46:49 PM",1,65,0.0047296805646511,"0/1279,","Crook"
100051753,"Governor","Democrat, Working Families",NA,NA,"Statewide Partisan",6,NA,100084063,"Tina Kotek","11/15/2022 1:46:49 PM",1,2140,0.15571563705159,"0/1279,","Crook"
100051753,"Governor","Libertarian",NA,NA,"Statewide Partisan",6,NA,100086000,"R Leon Noble","11/15/2022 1:46:49 PM",1,49,0.00356545150258313,"0/1279,","Crook"
100051753,"Governor","Nonaffiliated",NA,NA,"Statewide Partisan",6,NA,100086002,"Betsy Johnson","11/15/2022 1:46:49 PM",1,1325,0.0964127192025031,"0/1279,","Crook"
100051753,"Governor","Republican",NA,NA,"Statewide Partisan",6,NA,100084049,"Christine Drazan","11/15/2022 1:46:49 PM",1,10149,0.738485046932984,"0/1279,","Crook"
100051827,"State Representative, 59th District",NA,NA,NA,"HD 59",8,NA,9901,"Write-in","11/15/2022 1:46:49 PM",1,22,0.0016321685584984,"0/38,","Crook"
