"ContestID","ContestName","NominatingParty","PartyCode","AreaType","AreaNum","OfficeSeqNo","BallotOrder","CandidateID","CandidateName","CurrentDateTime","VoteFor","CandidateVotes","CandidatePercentage","PrecinctsReporting","County"
100051746,"US Senator",NA,NA,NA,"Federal",1,NA,9901,"Write-in","11/15/2022 1:46:52 PM",1,94,0.00093217901803865,"0/1279,","Deschutes"
100051746,"US Senator","Democrat, Independent",NA,NA,"Federal",1,NA,300018095,"Ron Wyden","11/15/2022 1:46:52 PM",1,53942,0.534931921181289,"0/1279,","Deschutes"
100051746,"US Senator","Pacific Green",NA,NA,"Federal",1,NA,100085953,"Dan Pulju","11/15/2022 1:46:52 PM",1,1139,0.0112952329951705,"0/1279,","Deschutes"
100051746,"US Senator","Progressive",NA,NA,"Federal",1,NA,100085955,"Chris Henry","11/15/2022 1:46:52 PM",1,1540,0.0152718690189312,"0/1279,","Deschutes"
100051746,"US Senator","Republican, Constitution",NA,NA,"Federal",1,NA,100083988,"Jo Rae Perkins","11/15/2022 1:46:52 PM",1,44124,0.437568797786571,"0/1279,","Deschutes"
100051748,"US Representative, 2nd District",NA,NA,NA,"US Representative 2nd District",2,NA,9901,"Write-in","11/15/2022 1:46:52 PM",1,19,0.00145115710685099,"0/370,","Deschutes"
100051748,"US Representative, 2nd District","Democrat",NA,NA,"US Representative 2nd District",2,NA,100083998,"Joe Yetter","11/15/2022 1:46:52 PM",1,4418,0.337432215687772,"0/370,","Deschutes"
100051748,"US Representative, 2nd District","Republican",NA,NA,"US Representative 2nd District",2,NA,100066698,"Cliff S Bentz","11/15/2022 1:46:52 PM",1,8656,0.661116627205377,"0/370,","Deschutes"
100051751,"US Representative, 5th District",NA,NA,NA,"US Representative 5th District",4,NA,9901,"Write-in","11/15/2022 1:46:52 PM",1,201,0.0023093096198256,"0/237,","Deschutes"
100051751,"US Representative, 5th District","Democrat, Independent, Working Families",NA,NA,"US Representative 5th District",4,NA,100084013,"Jamie McLeod-Skinner","11/15/2022 1:46:52 PM",1,45593,0.523822654212479,"0/237,","Deschutes"
100051751,"US Representative, 5th District","Republican",NA,NA,"US Representative 5th District",4,NA,100084017,"Lori Chavez-DeRemer","11/15/2022 1:46:52 PM",1,41245,0.473868036167695,"0/237,","Deschutes"
100051821,"State Representative, 53rd District",NA,NA,NA,"HD 53",5,NA,9901,"Write-in","11/15/2022 1:46:52 PM",1,38,0.00104844939852113,"0/19,","Deschutes"
100051821,"State Representative, 53rd District","Democrat, Independent",NA,NA,"HD 53",5,NA,100084325,"Emerson Levy","11/15/2022 1:46:52 PM",1,18242,0.503310892837435,"0/19,","Deschutes"
100051821,"State Representative, 53rd District","Republican",NA,NA,"HD 53",5,NA,100084327,"Michael Sipe","11/15/2022 1:46:52 PM",1,17964,0.495640657764044,"0/19,","Deschutes"
100051753,"Governor",NA,NA,NA,"Statewide Partisan",6,NA,9901,"Write-in","11/15/2022 1:46:52 PM",1,83,0.00080994574339357,"0/1279,","Deschutes"
100051753,"Governor","Constitution",NA,NA,"Statewide Partisan",6,NA,100085998,"Donice Noelle Smith","11/15/2022 1:46:52 PM",1,327,0.00319099106132168,"0/1279,","Deschutes"
100051753,"Governor","Democrat, Working Families",NA,NA,"Statewide Partisan",6,NA,100084063,"Tina Kotek","11/15/2022 1:46:52 PM",1,43546,0.424938522190562,"0/1279,","Deschutes"
100051753,"Governor","Libertarian",NA,NA,"Statewide Partisan",6,NA,100086000,"R Leon Noble","11/15/2022 1:46:52 PM",1,290,0.00282993091065225,"0/1279,","Deschutes"
100051753,"Governor","Nonaffiliated",NA,NA,"Statewide Partisan",6,NA,100086002,"Betsy Johnson","11/15/2022 1:46:52 PM",1,10763,0.105029470315001,"0/1279,","Deschutes"
100051753,"Governor","Republican",NA,NA,"Statewide Partisan",6,NA,100084049,"Christine Drazan","11/15/2022 1:46:52 PM",1,47467,0.46320113977907,"0/1279,","Deschutes"
100051822,"State Representative, 54th District",NA,NA,NA,"HD 54",6,NA,9901,"Write-in","11/15/2022 1:46:52 PM",1,32,0.00096411677864481,"0/14,","Deschutes"
100051822,"State Representative, 54th District","Democrat, Independent, Working Families",NA,NA,"HD 54",6,NA,100068183,"Jason Kropf","11/15/2022 1:46:52 PM",1,21273,0.640926757253472,"0/14,","Deschutes"
