"ContestID","ContestName","NominatingParty","PartyCode","AreaType","AreaNum","OfficeSeqNo","BallotOrder","CandidateID","CandidateName","CurrentDateTime","VoteFor","CandidateVotes","CandidatePercentage","PrecinctsReporting","County"
100051746,"US Senator",NA,NA,NA,"Federal",1,NA,9901,"Write-in","11/15/2022 1:47:04 PM",1,11,0.00114726741760534,"0/1279,","Jefferson"
100051746,"US Senator","Democrat, Independent",NA,NA,"Federal",1,NA,300018095,"Ron Wyden","11/15/2022 1:47:04 PM",1,3477,0.362640801001252,"0/1279,","Jefferson"
100051746,"US Senator","Pacific Green",NA,NA,"Federal",1,NA,100085953,"Dan Pulju","11/15/2022 1:47:04 PM",1,75,0.00782227784730914,"0/1279,","Jefferson"
100051746,"US Senator","Progressive",NA,NA,"Federal",1,NA,100085955,"Chris Henry","11/15/2022 1:47:04 PM",1,117,0.0122027534418023,"0/1279,","Jefferson"
100051746,"US Senator","Republican, Constitution",NA,NA,"Federal",1,NA,100083988,"Jo Rae Perkins","11/15/2022 1:47:04 PM",1,5908,0.616186900292032,"0/1279,","Jefferson"
100051748,"US Representative, 2nd District",NA,NA,NA,"US Representative 2nd District",2,NA,9901,"Write-in","11/15/2022 1:47:04 PM",1,15,0.00160720025715204,"0/370,","Jefferson"
100051748,"US Representative, 2nd District","Democrat",NA,NA,"US Representative 2nd District",2,NA,100083998,"Joe Yetter","11/15/2022 1:47:04 PM",1,2824,0.302582235079824,"0/370,","Jefferson"
100051748,"US Representative, 2nd District","Republican",NA,NA,"US Representative 2nd District",2,NA,100066698,"Cliff S Bentz","11/15/2022 1:47:04 PM",1,6494,0.695810564663024,"0/370,","Jefferson"
100051751,"US Representative, 5th District",NA,NA,NA,"US Representative 5th District",4,NA,9901,"Write-in","11/15/2022 1:47:04 PM",1,0,0,"0/237,","Jefferson"
100051751,"US Representative, 5th District","Democrat, Independent, Working Families",NA,NA,"US Representative 5th District",4,NA,100084013,"Jamie McLeod-Skinner","11/15/2022 1:47:04 PM",1,3,1,"0/237,","Jefferson"
100051751,"US Representative, 5th District","Republican",NA,NA,"US Representative 5th District",4,NA,100084017,"Lori Chavez-DeRemer","11/15/2022 1:47:04 PM",1,0,0,"0/237,","Jefferson"
100051753,"Governor",NA,NA,NA,"Statewide Partisan",6,NA,9901,"Write-in","11/15/2022 1:47:04 PM",1,17,0.0017592880057953,"0/1279,","Jefferson"
