"ContestID","ContestName","NominatingParty","PartyCode","AreaType","AreaNum","OfficeSeqNo","BallotOrder","CandidateID","CandidateName","CurrentDateTime","VoteFor","CandidateVotes","CandidatePercentage","PrecinctsReporting","County"
100051746,"US Senator",NA,NA,NA,"Federal",1,NA,9901,"Write-in","11/15/2022 1:47:05 PM",1,34,0.00091050291896524,"0/1279,","Josephine"
100051746,"US Senator","Democrat, Independent",NA,NA,"Federal",1,NA,300018095,"Ron Wyden","11/15/2022 1:47:05 PM",1,13795,0.369423169621338,"0/1279,","Josephine"
100051746,"US Senator","Pacific Green",NA,NA,"Federal",1,NA,100085953,"Dan Pulju","11/15/2022 1:47:05 PM",1,357,0.00956028064913502,"0/1279,","Josephine"
100051746,"US Senator","Progressive",NA,NA,"Federal",1,NA,100085955,"Chris Henry","11/15/2022 1:47:05 PM",1,512,0.0137111027797119,"0/1279,","Josephine"
100051746,"US Senator","Republican, Constitution",NA,NA,"Federal",1,NA,100083988,"Jo Rae Perkins","11/15/2022 1:47:05 PM",1,22644,0.60639494403085,"0/1279,","Josephine"
100051748,"US Representative, 2nd District",NA,NA,NA,"US Representative 2nd District",2,NA,9901,"Write-in","11/15/2022 1:47:05 PM",1,43,0.00117156635697354,"0/370,","Josephine"
100051748,"US Representative, 2nd District","Democrat",NA,NA,"US Representative 2nd District",2,NA,100083998,"Joe Yetter","11/15/2022 1:47:05 PM",1,11894,0.324060703484729,"0/370,","Josephine"
100051748,"US Representative, 2nd District","Republican",NA,NA,"US Representative 2nd District",2,NA,100066698,"Cliff S Bentz","11/15/2022 1:47:05 PM",1,24766,0.674767730158298,"0/370,","Josephine"
100051771,"State Representative, 3rd District",NA,NA,NA,"HD 03",4,NA,9901,"Write-in","11/15/2022 1:47:05 PM",1,62,0.00216843872411863,"0/31,","Josephine"
100051771,"State Representative, 3rd District","Democrat",NA,NA,"HD 03",4,NA,100084104,"Brady W Keister","11/15/2022 1:47:05 PM",1,9172,0.320789031897034,"0/31,","Josephine"
100051771,"State Representative, 3rd District","Republican",NA,NA,"HD 03",4,NA,100069363,"Lily Morgan","11/15/2022 1:47:05 PM",1,19358,0.677042529378847,"0/31,","Josephine"
100051753,"Governor",NA,NA,NA,"Statewide Partisan",6,NA,9901,"Write-in","11/15/2022 1:47:05 PM",1,61,0.00161649353402586,"0/1279,","Josephine"
100051753,"Governor","Constitution",NA,NA,"Statewide Partisan",6,NA,100085998,"Donice Noelle Smith","11/15/2022 1:47:05 PM",1,235,0.00622747509009964,"0/1279,","Josephine"
100051753,"Governor","Democrat, Working Families",NA,NA,"Statewide Partisan",6,NA,100084063,"Tina Kotek","11/15/2022 1:47:05 PM",1,10342,0.274061903752385,"0/1279,","Josephine"
100051753,"Governor","Libertarian",NA,NA,"Statewide Partisan",6,NA,100086000,"R Leon Noble","11/15/2022 1:47:05 PM",1,146,0.0038689845240619,"0/1279,","Josephine"
100051753,"Governor","Nonaffiliated",NA,NA,"Statewide Partisan",6,NA,100086002,"Betsy Johnson","11/15/2022 1:47:05 PM",1,2843,0.0753391986432054,"0/1279,","Josephine"
100051753,"Governor","Republican",NA,NA,"Statewide Partisan",6,NA,100084049,"Christine Drazan","11/15/2022 1:47:05 PM",1,24109,0.638885944456222,"0/1279,","Josephine"
100051772,"State Representative, 4th District",NA,NA,NA,"HD 04",7,NA,9901,"Write-in","11/15/2022 1:47:05 PM",1,177,0.0331584863244661,"0/32,","Josephine"
100051772,"State Representative, 4th District","Republican, Democrat",NA,NA,"HD 04",7,NA,100084105,"Christine Goodwin","11/15/2022 1:47:05 PM",1,5161,0.966841513675534,"0/32,","Josephine"
100051440,"Josephine County, Commissioner, Position 1",NA,NA,NA,"Josephine",9,NA,9901,"Write-in","11/15/2022 1:47:05 PM",1,170,0.00515323289581376,"0/47,","Josephine"
100051440,"Josephine County, Commissioner, Position 1",NA,NA,NA,"Josephine",9,NA,100085461,"John West","11/15/2022 1:47:05 PM",1,18628,0.564673072842463,"0/47,","Josephine"
100051440,"Josephine County, Commissioner, Position 1",NA,NA,NA,"Josephine",9,NA,100085462,"Brian DeLaGrange","11/15/2022 1:47:05 PM",1,14191,0.430173694261724,"0/47,","Josephine"
100051439,"Josephine, County Clerk and Recorder",NA,NA,NA,"Josephine",10,NA,9901,"Write-in","11/15/2022 1:47:05 PM",1,261,0.01209341117598,"0/47,","Josephine"
100051439,"Josephine, County Clerk and Recorder",NA,NA,NA,"Josephine",10,NA,100064121,"Rhiannon Henkels","11/15/2022 1:47:05 PM",1,21321,0.98790658882402,"0/47,","Josephine"
