"ContestID","ContestName","NominatingParty","PartyCode","AreaType","AreaNum","OfficeSeqNo","BallotOrder","CandidateID","CandidateName","CurrentDateTime","VoteFor","CandidateVotes","CandidatePercentage","PrecinctsReporting","County"
100051746,"US Senator",NA,NA,NA,"Federal",1,NA,9901,"Write-in","11/15/2022 1:47:07 PM",1,31,0.00106306368094373,"0/1279,","Klamath"
100051746,"US Senator","Democrat, Independent",NA,NA,"Federal",1,NA,300018095,"Ron Wyden","11/15/2022 1:47:07 PM",1,8750,0.300058297040568,"0/1279,","Klamath"
100051746,"US Senator","Pacific Green",NA,NA,"Federal",1,NA,100085953,"Dan Pulju","11/15/2022 1:47:07 PM",1,262,0.00898460272281472,"0/1279,","Klamath"
100051746,"US Senator","Progressive",NA,NA,"Federal",1,NA,100085955,"Chris Henry","11/15/2022 1:47:07 PM",1,439,0.0150543534172353,"0/1279,","Klamath"
100051746,"US Senator","Republican, Constitution",NA,NA,"Federal",1,NA,100083988,"Jo Rae Perkins","11/15/2022 1:47:07 PM",1,19679,0.674839683138438,"0/1279,","Klamath"
100051748,"US Representative, 2nd District",NA,NA,NA,"US Representative 2nd District",2,NA,9901,"Write-in","11/15/2022 1:47:07 PM",1,43,0.00148768336562413,"0/370,","Klamath"
100051748,"US Representative, 2nd District","Democrat",NA,NA,"US Representative 2nd District",2,NA,100083998,"Joe Yetter","11/15/2022 1:47:07 PM",1,7012,0.242596180459452,"0/370,","Klamath"
100051748,"US Representative, 2nd District","Republican",NA,NA,"US Representative 2nd District",2,NA,100066698,"Cliff S Bentz","11/15/2022 1:47:07 PM",1,21849,0.755916136174924,"0/370,","Klamath"
100051753,"Governor",NA,NA,NA,"Statewide Partisan",6,NA,9901,"Write-in","11/15/2022 1:47:07 PM",1,36,0.00121654501216545,"0/1279,","Klamath"
100051753,"Governor","Constitution",NA,NA,"Statewide Partisan",6,NA,100085998,"Donice Noelle Smith","11/15/2022 1:47:07 PM",1,231,0.00780616382806164,"0/1279,","Klamath"
100051753,"Governor","Democrat, Working Families",NA,NA,"Statewide Partisan",6,NA,100084063,"Tina Kotek","11/15/2022 1:47:07 PM",1,5849,0.197654771559881,"0/1279,","Klamath"
100051753,"Governor","Libertarian",NA,NA,"Statewide Partisan",6,NA,100086000,"R Leon Noble","11/15/2022 1:47:07 PM",1,150,0.00506893755068938,"0/1279,","Klamath"
100051753,"Governor","Nonaffiliated",NA,NA,"Statewide Partisan",6,NA,100086002,"Betsy Johnson","11/15/2022 1:47:07 PM",1,1817,0.0614017301973506,"0/1279,","Klamath"
100051753,"Governor","Republican",NA,NA,"Statewide Partisan",6,NA,100084049,"Christine Drazan","11/15/2022 1:47:07 PM",1,21509,0.726851851851852,"0/1279,","Klamath"
100051823,"State Representative, 55th District",NA,NA,NA,"HD 55",7,NA,9901,"Write-in","11/15/2022 1:47:07 PM",1,27,0.00167764384242575,"0/33,","Klamath"
100051823,"State Representative, 55th District","Democrat, Independent",NA,NA,"HD 55",7,NA,100084329,"Brian Lepore","11/15/2022 1:47:07 PM",1,3444,0.213992792344973,"0/33,","Klamath"
100051823,"State Representative, 55th District","Republican",NA,NA,"HD 55",7,NA,100084330,"E Werner Reschke","11/15/2022 1:47:07 PM",1,12623,0.784329563812601,"0/33,","Klamath"
100051467,"Klamath County, Commissioner, Position 1",NA,NA,NA,"Klamath County",9,NA,9901,"Write-in","11/15/2022 1:47:07 PM",1,507,0.0290777701307639,"0/45,","Klamath"
100051467,"Klamath County, Commissioner, Position 1",NA,NA,NA,"Klamath County",9,NA,100083621,"Dave Henslee","11/15/2022 1:47:07 PM",1,16929,0.970922229869236,"0/45,","Klamath"
100051824,"State Representative, 56th District",NA,NA,NA,"HD 56",9,NA,9901,"Write-in","11/15/2022 1:47:07 PM",1,41,0.00321644308464737,"0/34,","Klamath"
100051824,"State Representative, 56th District","Democrat, Working Families",NA,NA,"HD 56",9,NA,100084331,"Jonathan P Chenjeri","11/15/2022 1:47:07 PM",1,3895,0.3055620930415,"0/34,","Klamath"
100051824,"State Representative, 56th District","Republican",NA,NA,"HD 56",9,NA,100084332,"Emily G McIntire","11/15/2022 1:47:07 PM",1,8811,0.691221463873853,"0/34,","Klamath"
100051466,"Klamath County, Clerk",NA,NA,NA,"Klamath County",10,NA,9901,"Write-in","11/15/2022 1:47:07 PM",1,254,0.0152708471111646,"0/45,","Klamath"
100051466,"Klamath County, Clerk",NA,NA,NA,"Klamath County",10,NA,100063962,"Rochelle Long","11/15/2022 1:47:07 PM",1,16379,0.984729152888835,"0/45,","Klamath"
100051468,"Klamath County, Treasurer",NA,NA,NA,"Klamath County",11,NA,9901,"Write-in","11/15/2022 1:47:07 PM",1,229,0.0141218549580661,"0/45,","Klamath"
100051468,"Klamath County, Treasurer",NA,NA,NA,"Klamath County",11,NA,100063963,"Vickie Noel","11/15/2022 1:47:07 PM",1,15987,0.985878145041934,"0/45,","Klamath"
100051469,"City of Chiloquin, Council, Position 2",NA,NA,NA,"City of Chiloquin",12,NA,9901,"Write-in","11/15/2022 1:47:07 PM",1,41,1,"0/1,","Klamath"
100051469,"City of Chiloquin, Council, Position 2",NA,NA,NA,"City of Chiloquin",12,NA,100085877,"No Candidate Filed","11/15/2022 1:47:07 PM",1,0,0,"0/1,","Klamath"
100051470,"City of Chiloquin, Council, Position 4",NA,NA,NA,"City of Chiloquin",13,NA,9901,"Write-in","11/15/2022 1:47:07 PM",1,2,0.0178571428571429,"0/1,","Klamath"
100051470,"City of Chiloquin, Council, Position 4",NA,NA,NA,"City of Chiloquin",13,NA,100045347,"Gaylor Hescock","11/15/2022 1:47:07 PM",1,110,0.982142857142857,"0/1,","Klamath"
100051471,"City of Chiloquin, Council, Position 6",NA,NA,NA,"City of Chiloquin",14,NA,9901,"Write-in","11/15/2022 1:47:07 PM",1,8,0.0776699029126214,"0/1,","Klamath"
100051471,"City of Chiloquin, Council, Position 6",NA,NA,NA,"City of Chiloquin",14,NA,100064129,"Kevin Ketner","11/15/2022 1:47:07 PM",1,95,0.922330097087379,"0/1,","Klamath"
100051472,"City of Klamath Falls, Ward 3, City Council",NA,NA,NA,"City of Klamath Falls, Ward 3",15,NA,9901,"Write-in","11/15/2022 1:47:07 PM",1,14,0.0166468489892985,"0/3,","Klamath"
100051472,"City of Klamath Falls, Ward 3, City Council",NA,NA,NA,"City of Klamath Falls, Ward 3",15,NA,100085488,"Stephen Hedlund","11/15/2022 1:47:07 PM",1,372,0.442330558858502,"0/3,","Klamath"
100051472,"City of Klamath Falls, Ward 3, City Council",NA,NA,NA,"City of Klamath Falls, Ward 3",15,NA,100085489,"Emily Strauss","11/15/2022 1:47:07 PM",1,266,0.316290130796671,"0/3,","Klamath"
100051472,"City of Klamath Falls, Ward 3, City Council",NA,NA,NA,"City of Klamath Falls, Ward 3",15,NA,100085521,"Kelsey Bitzer","11/15/2022 1:47:07 PM",1,189,0.224732461355529,"0/3,","Klamath"
