"ContestID","ContestName","NominatingParty","PartyCode","AreaType","AreaNum","OfficeSeqNo","BallotOrder","CandidateID","CandidateName","CurrentDateTime","VoteFor","CandidateVotes","CandidatePercentage","PrecinctsReporting","County"
100051746,"US Senator",NA,NA,NA,"Federal",1,NA,9901,"Write-in","11/15/2022 1:47:08 PM",1,13,0.00338277387457715,"0/1279,","Lake"
100051746,"US Senator","Democrat, Independent",NA,NA,"Federal",1,NA,300018095,"Ron Wyden","11/15/2022 1:47:08 PM",1,828,0.215456674473068,"0/1279,","Lake"
100051746,"US Senator","Pacific Green",NA,NA,"Federal",1,NA,100085953,"Dan Pulju","11/15/2022 1:47:08 PM",1,29,0.00754618787405673,"0/1279,","Lake"
100051746,"US Senator","Progressive",NA,NA,"Federal",1,NA,100085955,"Chris Henry","11/15/2022 1:47:08 PM",1,44,0.0114493884985688,"0/1279,","Lake"
100051746,"US Senator","Republican, Constitution",NA,NA,"Federal",1,NA,100083988,"Jo Rae Perkins","11/15/2022 1:47:08 PM",1,2929,0.762164975279729,"0/1279,","Lake"
100051748,"US Representative, 2nd District",NA,NA,NA,"US Representative 2nd District",2,NA,9901,"Write-in","11/15/2022 1:47:08 PM",1,12,0.003147128245476,"0/370,","Lake"
100051748,"US Representative, 2nd District","Democrat",NA,NA,"US Representative 2nd District",2,NA,100083998,"Joe Yetter","11/15/2022 1:47:08 PM",1,553,0.145030159979019,"0/370,","Lake"
100051748,"US Representative, 2nd District","Republican",NA,NA,"US Representative 2nd District",2,NA,100066698,"Cliff S Bentz","11/15/2022 1:47:08 PM",1,3248,0.851822711775505,"0/370,","Lake"
100051753,"Governor",NA,NA,NA,"Statewide Partisan",6,NA,9901,"Write-in","11/15/2022 1:47:08 PM",1,28,0.00717948717948718,"0/1279,","Lake"
100051753,"Governor","Constitution",NA,NA,"Statewide Partisan",6,NA,100085998,"Donice Noelle Smith","11/15/2022 1:47:08 PM",1,11,0.00282051282051282,"0/1279,","Lake"
100051753,"Governor","Democrat, Working Families",NA,NA,"Statewide Partisan",6,NA,100084063,"Tina Kotek","11/15/2022 1:47:08 PM",1,407,0.104358974358974,"0/1279,","Lake"
100051753,"Governor","Libertarian",NA,NA,"Statewide Partisan",6,NA,100086000,"R Leon Noble","11/15/2022 1:47:08 PM",1,17,0.00435897435897436,"0/1279,","Lake"
100051753,"Governor","Nonaffiliated",NA,NA,"Statewide Partisan",6,NA,100086002,"Betsy Johnson","11/15/2022 1:47:08 PM",1,229,0.0587179487179487,"0/1279,","Lake"
100051753,"Governor","Republican",NA,NA,"Statewide Partisan",6,NA,100084049,"Christine Drazan","11/15/2022 1:47:08 PM",1,3208,0.822564102564103,"0/1279,","Lake"
100051005,"Lake County, Sheriff",NA,NA,NA,"LAKE",8,NA,9901,"Write-in","11/15/2022 1:47:08 PM",1,38,0.0101577118417535,"0/19,","Lake"
100051005,"Lake County, Sheriff",NA,NA,NA,"LAKE",8,NA,100085056,"Michael Taylor","11/15/2022 1:47:08 PM",1,2362,0.631381983426891,"0/19,","Lake"
100051005,"Lake County, Sheriff",NA,NA,NA,"LAKE",8,NA,100086514,"Thomas Roark","11/15/2022 1:47:08 PM",1,1341,0.358460304731355,"0/19,","Lake"
100051004,"Lake County, Commissioner, Position 2",NA,NA,NA,"LAKE",9,NA,9901,"Write-in","11/15/2022 1:47:08 PM",1,22,0.0060790273556231,"0/19,","Lake"
100051004,"Lake County, Commissioner, Position 2",NA,NA,NA,"LAKE",9,NA,100085058,"James Williams","11/15/2022 1:47:08 PM",1,2270,0.627245095330202,"0/19,","Lake"
100051004,"Lake County, Commissioner, Position 2",NA,NA,NA,"LAKE",9,NA,100085059,"Ken Kestner","11/15/2022 1:47:08 PM",1,1327,0.366675877314175,"0/19,","Lake"
100051828,"State Representative, 60th District",NA,NA,NA,"HD 60",9,NA,9901,"Write-in","11/15/2022 1:47:08 PM",1,20,0.00566251415628539,"0/69,","Lake"
100051828,"State Representative, 60th District","Progressive",NA,NA,"HD 60",9,NA,100086063,"Antonio Sunseri","11/15/2022 1:47:08 PM",1,274,0.0775764439411099,"0/69,","Lake"
100051828,"State Representative, 60th District","Republican, Independent, Democrat",NA,NA,"HD 60",9,NA,100066856,"Mark Owens","11/15/2022 1:47:08 PM",1,3238,0.916761041902605,"0/69,","Lake"
100051006,"City of Paisley, City Council (Vote For 3)",NA,NA,NA,"CITY OF PAISLEY",10,NA,9901,"Write-in","11/15/2022 1:47:08 PM",3,10,0.0239808153477218,"0/1,","Lake"
100051006,"City of Paisley, City Council (Vote For 3)",NA,NA,NA,"CITY OF PAISLEY",10,NA,100085060,"Toni Bailie","11/15/2022 1:47:08 PM",3,83,0.199040767386091,"0/1,","Lake"
100051006,"City of Paisley, City Council (Vote For 3)",NA,NA,NA,"CITY OF PAISLEY",10,NA,100085151,"Wes Houston","11/15/2022 1:47:08 PM",3,69,0.165467625899281,"0/1,","Lake"
100051006,"City of Paisley, City Council (Vote For 3)",NA,NA,NA,"CITY OF PAISLEY",10,NA,100085184,"Krissy Funk","11/15/2022 1:47:08 PM",3,51,0.122302158273381,"0/1,","Lake"
100051006,"City of Paisley, City Council (Vote For 3)",NA,NA,NA,"CITY OF PAISLEY",10,NA,100085490,"Keith W Harra Jr","11/15/2022 1:47:08 PM",3,82,0.196642685851319,"0/1,","Lake"
100051006,"City of Paisley, City Council (Vote For 3)",NA,NA,NA,"CITY OF PAISLEY",10,NA,100085491,"Linda Harra","11/15/2022 1:47:08 PM",3,54,0.129496402877698,"0/1,","Lake"
100051006,"City of Paisley, City Council (Vote For 3)",NA,NA,NA,"CITY OF PAISLEY",10,NA,100085530,"Chelsea Jones","11/15/2022 1:47:08 PM",3,68,0.163069544364508,"0/1,","Lake"
100051007,"Town of Lakeview, Town Council (Vote For 2)",NA,NA,NA,"TOWN OF LAKEVIEW",11,NA,9901,"Write-in","11/15/2022 1:47:08 PM",2,25,0.0200320512820513,"0/5,","Lake"
100051007,"Town of Lakeview, Town Council (Vote For 2)",NA,NA,NA,"TOWN OF LAKEVIEW",11,NA,100085162,"Kyle Deiter","11/15/2022 1:47:08 PM",2,534,0.427884615384615,"0/5,","Lake"
100051007,"Town of Lakeview, Town Council (Vote For 2)",NA,NA,NA,"TOWN OF LAKEVIEW",11,NA,100085531,"Charlene (Charley) Tracy","11/15/2022 1:47:08 PM",2,689,0.552083333333333,"0/5,","Lake"
100051014,"Fort Rock - Silver Lake Soil and Water Conservation District, At-large, Position 1",NA,NA,NA,"Fort Rock/Silver Lake Soil and Water District",12,NA,9901,"Write-in","11/15/2022 1:47:08 PM",1,15,0.017921146953405,"0/4,","Lake"
