"ContestID","ContestName","NominatingParty","PartyCode","AreaType","AreaNum","OfficeSeqNo","BallotOrder","CandidateID","CandidateName","CurrentDateTime","VoteFor","CandidateVotes","CandidatePercentage","PrecinctsReporting","County"
100051746,"US Senator",NA,NA,NA,"Federal",1,NA,9901,"Write-in","11/15/2022 1:47:13 PM",1,101,0.00184407522366259,"0/1279,","Linn"
100051746,"US Senator","Democrat, Independent",NA,NA,"Federal",1,NA,300018095,"Ron Wyden","11/15/2022 1:47:13 PM",1,19961,0.364451341975534,"0/1279,","Linn"
100051746,"US Senator","Pacific Green",NA,NA,"Federal",1,NA,100085953,"Dan Pulju","11/15/2022 1:47:13 PM",1,607,0.0110827095125068,"0/1279,","Linn"
100051746,"US Senator","Progressive",NA,NA,"Federal",1,NA,100085955,"Chris Henry","11/15/2022 1:47:13 PM",1,943,0.0172174548110279,"0/1279,","Linn"
100051746,"US Senator","Republican, Constitution",NA,NA,"Federal",1,NA,100083988,"Jo Rae Perkins","11/15/2022 1:47:13 PM",1,33158,0.605404418477269,"0/1279,","Linn"
100051750,"US Representative, 4th District",NA,NA,NA,"US Representative 4th District",3,NA,9901,"Write-in","11/15/2022 1:47:13 PM",1,0,0,"0/187,","Linn"
100051750,"US Representative, 4th District","Constitution",NA,NA,"US Representative 4th District",3,NA,100085960,"Jim Howard","11/15/2022 1:47:13 PM",1,6,0.00988467874794069,"0/187,","Linn"
100051750,"US Representative, 4th District","Democrat, Working Families",NA,NA,"US Representative 4th District",3,NA,100084008,"Val Hoyle","11/15/2022 1:47:13 PM",1,311,0.512355848434926,"0/187,","Linn"
100051750,"US Representative, 4th District","Independent, Libertarian",NA,NA,"US Representative 4th District",3,NA,100085958,"Levi Leatherberry","11/15/2022 1:47:13 PM",1,11,0.0181219110378913,"0/187,","Linn"
100051750,"US Representative, 4th District","Pacific Green, Progressive",NA,NA,"US Representative 4th District",3,NA,100085957,"Mike Beilstein","11/15/2022 1:47:13 PM",1,10,0.0164744645799012,"0/187,","Linn"
100051750,"US Representative, 4th District","Republican",NA,NA,"US Representative 4th District",3,NA,100084003,"Alek Skarlatos","11/15/2022 1:47:13 PM",1,269,0.443163097199341,"0/187,","Linn"
100051751,"US Representative, 5th District",NA,NA,NA,"US Representative 5th District",4,NA,9901,"Write-in","11/15/2022 1:47:13 PM",1,168,0.00314689244371183,"0/237,","Linn"
100051751,"US Representative, 5th District","Democrat, Independent, Working Families",NA,NA,"US Representative 5th District",4,NA,100084013,"Jamie McLeod-Skinner","11/15/2022 1:47:13 PM",1,17109,0.320477278687296,"0/237,","Linn"
100051751,"US Representative, 5th District","Republican",NA,NA,"US Representative 5th District",4,NA,100084017,"Lori Chavez-DeRemer","11/15/2022 1:47:13 PM",1,36109,0.676375828868992,"0/237,","Linn"
