"ContestID","ContestName","NominatingParty","PartyCode","AreaType","AreaNum","OfficeSeqNo","BallotOrder","CandidateID","CandidateName","CurrentDateTime","VoteFor","CandidateVotes","CandidatePercentage","PrecinctsReporting","County"
100051746,"US Senator",NA,NA,NA,"Federal",1,NA,9901,"Write-in","11/9/2022 10:03:52 AM",1,30,0.00118661498299185,"0/1279,","Coos"
100051746,"US Senator","Democrat, Independent",NA,NA,"Federal",1,NA,300018095,"Ron Wyden","11/9/2022 10:03:52 AM",1,10543,0.417016058856103,"0/1279,","Coos"
100051746,"US Senator","Pacific Green",NA,NA,"Federal",1,NA,100085953,"Dan Pulju","11/9/2022 10:03:52 AM",1,268,0.0106004271813939,"0/1279,","Coos"
100051746,"US Senator","Progressive",NA,NA,"Federal",1,NA,100085955,"Chris Henry","11/9/2022 10:03:52 AM",1,405,0.01601930227039,"0/1279,","Coos"
100051746,"US Senator","Republican, Constitution",NA,NA,"Federal",1,NA,100083988,"Jo Rae Perkins","11/9/2022 10:03:52 AM",1,14036,0.555177596709121,"0/1279,","Coos"
100051750,"US Representative, 4th District",NA,NA,NA,"US Representative 4th District",3,NA,9901,"Write-in","11/9/2022 10:03:52 AM",1,51,0.00202541699761716,"0/187,","Coos"
100051750,"US Representative, 4th District","Constitution",NA,NA,"US Representative 4th District",3,NA,100085960,"Jim Howard","11/9/2022 10:03:52 AM",1,571,0.0226767275615568,"0/187,","Coos"
100051750,"US Representative, 4th District","Democrat, Working Families",NA,NA,"US Representative 4th District",3,NA,100084008,"Val Hoyle","11/9/2022 10:03:52 AM",1,9020,0.358220810166799,"0/187,","Coos"
100051750,"US Representative, 4th District","Independent, Libertarian",NA,NA,"US Representative 4th District",3,NA,100085958,"Levi Leatherberry","11/9/2022 10:03:52 AM",1,613,0.0243447180301827,"0/187,","Coos"
100051750,"US Representative, 4th District","Pacific Green, Progressive",NA,NA,"US Representative 4th District",3,NA,100085957,"Mike Beilstein","11/9/2022 10:03:52 AM",1,376,0.0149324861000794,"0/187,","Coos"
100051750,"US Representative, 4th District","Republican",NA,NA,"US Representative 4th District",3,NA,100084003,"Alek Skarlatos","11/9/2022 10:03:52 AM",1,14549,0.577799841143765,"0/187,","Coos"
100051769,"State Representative, 1st District",NA,NA,NA,"HD 01",5,NA,9901,"Write-in","11/9/2022 10:03:52 AM",1,28,0.00270976483112358,"0/45,","Coos"
100051769,"State Representative, 1st District","Democrat",NA,NA,"HD 01",5,NA,100084101,"Bret Cecil","11/9/2022 10:03:52 AM",1,3291,0.318494144972418,"0/45,","Coos"
100051769,"State Representative, 1st District","Republican",NA,NA,"HD 01",5,NA,300027661,"David Brock Smith","11/9/2022 10:03:52 AM",1,7014,0.678796090196458,"0/45,","Coos"
100051753,"Governor",NA,NA,NA,"Statewide Partisan",6,NA,9901,"Write-in","11/9/2022 10:03:52 AM",1,45,0.0017650519709747,"0/1279,","Coos"
100051753,"Governor","Constitution",NA,NA,"Statewide Partisan",6,NA,100085998,"Donice Noelle Smith","11/9/2022 10:03:52 AM",1,165,0.00647185722690724,"0/1279,","Coos"
100051753,"Governor","Democrat, Working Families",NA,NA,"Statewide Partisan",6,NA,100084063,"Tina Kotek","11/9/2022 10:03:52 AM",1,7884,0.309237105314768,"0/1279,","Coos"
100051753,"Governor","Libertarian",NA,NA,"Statewide Partisan",6,NA,100086000,"R Leon Noble","11/9/2022 10:03:52 AM",1,130,0.00509903902726025,"0/1279,","Coos"
100051753,"Governor","Nonaffiliated",NA,NA,"Statewide Partisan",6,NA,100086002,"Betsy Johnson","11/9/2022 10:03:52 AM",1,2432,0.0953912531868994,"0/1279,","Coos"
100051753,"Governor","Republican",NA,NA,"Statewide Partisan",6,NA,100084049,"Christine Drazan","11/9/2022 10:03:52 AM",1,14839,0.582035693273191,"0/1279,","Coos"
100050984,"Coos County, Commissioner, Position 3",NA,NA,NA,"Coos",9,NA,9901,"Write-in","11/9/2022 10:03:52 AM",1,61,0.00257546970656534,"0/18,","Coos"
100050984,"Coos County, Commissioner, Position 3",NA,NA,NA,"Coos",9,NA,100079997,"Rod Taylor","11/9/2022 10:03:52 AM",1,11579,0.488874815283935,"0/18,","Coos"
100050984,"Coos County, Commissioner, Position 3",NA,NA,NA,"Coos",9,NA,100085045,"Melissa T Cribbins","11/9/2022 10:03:52 AM",1,12045,0.5085497150095,"0/18,","Coos"
100051777,"State Representative, 9th District",NA,NA,NA,"HD 09",9,NA,9901,"Write-in","11/9/2022 10:03:52 AM",1,39,0.00268410185822436,"0/17,","Coos"
100051777,"State Representative, 9th District","Democrat",NA,NA,"HD 09",9,NA,100086041,"Jerry Rust","11/9/2022 10:03:52 AM",1,5390,0.370956641431521,"0/17,","Coos"
100051777,"State Representative, 9th District","Republican",NA,NA,"HD 09",9,NA,100066750,"Boomer Wright","11/9/2022 10:03:52 AM",1,9101,0.626359256710255,"0/17,","Coos"
100050983,"Coos County, Clerk",NA,NA,NA,"Coos",10,NA,9901,"Write-in","11/9/2022 10:03:52 AM",1,542,0.0341740226986129,"0/18,","Coos"
100050983,"Coos County, Clerk",NA,NA,NA,"Coos",10,NA,100080769,"Julie Brecke","11/9/2022 10:03:52 AM",1,15318,0.965825977301387,"0/18,","Coos"
100050985,"Coos County, Sheriff",NA,NA,NA,"Coos",11,NA,9901,"Write-in","11/9/2022 10:03:52 AM",1,106,0.0048481522136846,"0/18,","Coos"
100050985,"Coos County, Sheriff",NA,NA,NA,"Coos",11,NA,100085046,"M A Kinnaird","11/9/2022 10:03:52 AM",1,5719,0.261571533113794,"0/18,","Coos"
100050985,"Coos County, Sheriff",NA,NA,NA,"Coos",11,NA,100085047,"Gabe Fabrizio","11/9/2022 10:03:52 AM",1,16039,0.733580314672521,"0/18,","Coos"
100050987,"City of Bandon, Mayor",NA,NA,NA,"Bandon City",12,NA,9901,"Write-in","11/9/2022 10:03:52 AM",1,142,0.13880742913001,"0/1,","Coos"
100050987,"City of Bandon, Mayor",NA,NA,NA,"Bandon City",12,NA,100085031,"Mary C Schamehorn","11/9/2022 10:03:52 AM",1,881,0.86119257086999,"0/1,","Coos"
100050986,"City of Bandon, Council Members (Vote For 3)",NA,NA,NA,"Bandon City",13,NA,9901,"Write-in","11/9/2022 10:03:52 AM",3,86,0.0365801786473841,"0/1,","Coos"
100050986,"City of Bandon, Council Members (Vote For 3)",NA,NA,NA,"Bandon City",13,NA,100044857,"Christopher Powell","11/9/2022 10:03:52 AM",3,757,0.321990642279881,"0/1,","Coos"
100050986,"City of Bandon, Council Members (Vote For 3)",NA,NA,NA,"Bandon City",13,NA,100045082,"Madeline Seymour","11/9/2022 10:03:52 AM",3,752,0.319863887707359,"0/1,","Coos"
100050986,"City of Bandon, Council Members (Vote For 3)",NA,NA,NA,"Bandon City",13,NA,100085524,"Joshua Adamson","11/9/2022 10:03:52 AM",3,756,0.321565291365376,"0/1,","Coos"
100050989,"City of Coos Bay, Mayor",NA,NA,NA,"Coos Bay City",14,NA,9901,"Write-in","11/9/2022 10:03:52 AM",1,252,0.071733561058924,"0/3,","Coos"
100050989,"City of Coos Bay, Mayor",NA,NA,NA,"Coos Bay City",14,NA,100085592,"Joe Benetti","11/9/2022 10:03:52 AM",1,3261,0.928266438941076,"0/3,","Coos"
100050988,"City of Coos Bay, Council Members (Vote For 3)",NA,NA,NA,"Coos Bay City",15,NA,9901,"Write-in","11/9/2022 10:03:52 AM",3,173,0.020132666123589,"0/3,","Coos"
100050988,"City of Coos Bay, Council Members (Vote For 3)",NA,NA,NA,"Coos Bay City",15,NA,100085593,"Carmen Matthews","11/9/2022 10:03:52 AM",3,2858,0.332596299313395,"0/3,","Coos"
100050988,"City of Coos Bay, Council Members (Vote For 3)",NA,NA,NA,"Coos Bay City",15,NA,100085594,"Rob Miles","11/9/2022 10:03:52 AM",3,2842,0.330734318631444,"0/3,","Coos"
100050988,"City of Coos Bay, Council Members (Vote For 3)",NA,NA,NA,"Coos Bay City",15,NA,100085595,"Sara Stephens","11/9/2022 10:03:52 AM",3,2720,0.316536715931572,"0/3,","Coos"
100050991,"City of Coquille, Mayor",NA,NA,NA,"Coquille City",16,NA,9901,"Write-in","11/9/2022 10:03:52 AM",1,48,0.0470588235294118,"0/1,","Coos"
100050991,"City of Coquille, Mayor",NA,NA,NA,"Coquille City",16,NA,100085034,"Sam Flaherty","11/9/2022 10:03:52 AM",1,972,0.952941176470588,"0/1,","Coos"
