"ContestID","ContestName","NominatingParty","PartyCode","AreaType","AreaNum","OfficeSeqNo","BallotOrder","CandidateID","CandidateName","CurrentDateTime","VoteFor","CandidateVotes","CandidatePercentage","PrecinctsReporting","County"
100051746,"US Senator",NA,NA,NA,"Federal",1,NA,9901,"Write-in","11/9/2022 10:03:54 AM",1,16,0.00142310771146491,"0/1279,","Crook"
100051746,"US Senator","Democrat, Independent",NA,NA,"Federal",1,NA,300018095,"Ron Wyden","11/9/2022 10:03:54 AM",1,3005,0.267277417059504,"0/1279,","Crook"
100051746,"US Senator","Pacific Green",NA,NA,"Federal",1,NA,100085953,"Dan Pulju","11/9/2022 10:03:54 AM",1,73,0.00649292893355866,"0/1279,","Crook"
100051746,"US Senator","Progressive",NA,NA,"Federal",1,NA,100085955,"Chris Henry","11/9/2022 10:03:54 AM",1,108,0.00960597705238815,"0/1279,","Crook"
100051746,"US Senator","Republican, Constitution",NA,NA,"Federal",1,NA,100083988,"Jo Rae Perkins","11/9/2022 10:03:54 AM",1,8041,0.715200569243085,"0/1279,","Crook"
100051748,"US Representative, 2nd District",NA,NA,NA,"US Representative 2nd District",2,NA,9901,"Write-in","11/9/2022 10:03:54 AM",1,12,0.00107816711590297,"0/370,","Crook"
100051748,"US Representative, 2nd District","Democrat",NA,NA,"US Representative 2nd District",2,NA,100083998,"Joe Yetter","11/9/2022 10:03:54 AM",1,2286,0.205390835579515,"0/370,","Crook"
100051748,"US Representative, 2nd District","Republican",NA,NA,"US Representative 2nd District",2,NA,100066698,"Cliff S Bentz","11/9/2022 10:03:54 AM",1,8832,0.793530997304582,"0/370,","Crook"
100051753,"Governor",NA,NA,NA,"Statewide Partisan",6,NA,9901,"Write-in","11/9/2022 10:03:54 AM",1,11,0.00096805421103581,"0/1279,","Crook"
100051753,"Governor","Constitution",NA,NA,"Statewide Partisan",6,NA,100085998,"Donice Noelle Smith","11/9/2022 10:03:54 AM",1,55,0.00484027105517909,"0/1279,","Crook"
100051753,"Governor","Democrat, Working Families",NA,NA,"Statewide Partisan",6,NA,100084063,"Tina Kotek","11/9/2022 10:03:54 AM",1,1764,0.155240693478835,"0/1279,","Crook"
