"ContestID","ContestName","NominatingParty","PartyCode","AreaType","AreaNum","OfficeSeqNo","BallotOrder","CandidateID","CandidateName","CurrentDateTime","VoteFor","CandidateVotes","CandidatePercentage","PrecinctsReporting","County"
100051746,"US Senator",NA,NA,NA,"Federal",1,NA,9901,"Write-in","11/9/2022 10:05:07 AM",1,24,0.00111018595614765,"0/1279,","Klamath"
100051746,"US Senator","Democrat, Independent",NA,NA,"Federal",1,NA,300018095,"Ron Wyden","11/9/2022 10:05:07 AM",1,6606,0.305578684429642,"0/1279,","Klamath"
100051746,"US Senator","Pacific Green",NA,NA,"Federal",1,NA,100085953,"Dan Pulju","11/9/2022 10:05:07 AM",1,166,0.00767878619668795,"0/1279,","Klamath"
100051746,"US Senator","Progressive",NA,NA,"Federal",1,NA,100085955,"Chris Henry","11/9/2022 10:05:07 AM",1,278,0.0128596539920437,"0/1279,","Klamath"
100051746,"US Senator","Republican, Constitution",NA,NA,"Federal",1,NA,100083988,"Jo Rae Perkins","11/9/2022 10:05:07 AM",1,14544,0.672772689425479,"0/1279,","Klamath"
100051748,"US Representative, 2nd District",NA,NA,NA,"US Representative 2nd District",2,NA,9901,"Write-in","11/9/2022 10:05:07 AM",1,31,0.00144630027059812,"0/370,","Klamath"
100051748,"US Representative, 2nd District","Democrat",NA,NA,"US Representative 2nd District",2,NA,100083998,"Joe Yetter","11/9/2022 10:05:07 AM",1,5207,0.242931790613045,"0/370,","Klamath"
100051748,"US Representative, 2nd District","Republican",NA,NA,"US Representative 2nd District",2,NA,100066698,"Cliff S Bentz","11/9/2022 10:05:07 AM",1,16196,0.755621909116357,"0/370,","Klamath"
100051753,"Governor",NA,NA,NA,"Statewide Partisan",6,NA,9901,"Write-in","11/9/2022 10:05:07 AM",1,25,0.00114176105224699,"0/1279,","Klamath"
100051753,"Governor","Constitution",NA,NA,"Statewide Partisan",6,NA,100085998,"Donice Noelle Smith","11/9/2022 10:05:07 AM",1,154,0.00703324808184143,"0/1279,","Klamath"
100051753,"Governor","Democrat, Working Families",NA,NA,"Statewide Partisan",6,NA,100084063,"Tina Kotek","11/9/2022 10:05:07 AM",1,4323,0.197433321154549,"0/1279,","Klamath"
100051753,"Governor","Libertarian",NA,NA,"Statewide Partisan",6,NA,100086000,"R Leon Noble","11/9/2022 10:05:07 AM",1,109,0.00497807818779686,"0/1279,","Klamath"
100051753,"Governor","Nonaffiliated",NA,NA,"Statewide Partisan",6,NA,100086002,"Betsy Johnson","11/9/2022 10:05:07 AM",1,1381,0.0630708805261235,"0/1279,","Klamath"
100051753,"Governor","Republican",NA,NA,"Statewide Partisan",6,NA,100084049,"Christine Drazan","11/9/2022 10:05:07 AM",1,15904,0.726342710997442,"0/1279,","Klamath"
100051823,"State Representative, 55th District",NA,NA,NA,"HD 55",7,NA,9901,"Write-in","11/9/2022 10:05:07 AM",1,16,0.00134261978685911,"0/33,","Klamath"
100051823,"State Representative, 55th District","Democrat, Independent",NA,NA,"HD 55",7,NA,100084329,"Brian Lepore","11/9/2022 10:05:07 AM",1,2557,0.214567424687421,"0/33,","Klamath"
100051823,"State Representative, 55th District","Republican",NA,NA,"HD 55",7,NA,100084330,"E Werner Reschke","11/9/2022 10:05:07 AM",1,9344,0.78408995552572,"0/33,","Klamath"
100051467,"Klamath County, Commissioner, Position 1",NA,NA,NA,"Klamath County",9,NA,9901,"Write-in","11/9/2022 10:05:07 AM",1,339,0.0258778625954198,"0/45,","Klamath"
100051467,"Klamath County, Commissioner, Position 1",NA,NA,NA,"Klamath County",9,NA,100083621,"Dave Henslee","11/9/2022 10:05:07 AM",1,12761,0.97412213740458,"0/45,","Klamath"
100051824,"State Representative, 56th District",NA,NA,NA,"HD 56",9,NA,9901,"Write-in","11/9/2022 10:05:07 AM",1,36,0.00380388841927303,"0/34,","Klamath"
100051824,"State Representative, 56th District","Democrat, Working Families",NA,NA,"HD 56",9,NA,100084331,"Jonathan P Chenjeri","11/9/2022 10:05:07 AM",1,2868,0.303043110735418,"0/34,","Klamath"
100051824,"State Representative, 56th District","Republican",NA,NA,"HD 56",9,NA,100084332,"Emily G McIntire","11/9/2022 10:05:07 AM",1,6560,0.693153000845309,"0/34,","Klamath"
100051466,"Klamath County, Clerk",NA,NA,NA,"Klamath County",10,NA,9901,"Write-in","11/9/2022 10:05:07 AM",1,169,0.0134747249242545,"0/45,","Klamath"
100051466,"Klamath County, Clerk",NA,NA,NA,"Klamath County",10,NA,100063962,"Rochelle Long","11/9/2022 10:05:07 AM",1,12373,0.986525275075746,"0/45,","Klamath"
100051468,"Klamath County, Treasurer",NA,NA,NA,"Klamath County",11,NA,9901,"Write-in","11/9/2022 10:05:07 AM",1,158,0.0128979591836735,"0/45,","Klamath"
100051468,"Klamath County, Treasurer",NA,NA,NA,"Klamath County",11,NA,100063963,"Vickie Noel","11/9/2022 10:05:07 AM",1,12092,0.987102040816327,"0/45,","Klamath"
100051469,"City of Chiloquin, Council, Position 2",NA,NA,NA,"City of Chiloquin",12,NA,9901,"Write-in","11/9/2022 10:05:07 AM",1,20,1,"0/1,","Klamath"
100051469,"City of Chiloquin, Council, Position 2",NA,NA,NA,"City of Chiloquin",12,NA,100085877,"No Candidate Filed","11/9/2022 10:05:07 AM",1,0,0,"0/1,","Klamath"
100051470,"City of Chiloquin, Council, Position 4",NA,NA,NA,"City of Chiloquin",13,NA,9901,"Write-in","11/9/2022 10:05:07 AM",1,2,0.0298507462686567,"0/1,","Klamath"
100051470,"City of Chiloquin, Council, Position 4",NA,NA,NA,"City of Chiloquin",13,NA,100045347,"Gaylor Hescock","11/9/2022 10:05:07 AM",1,65,0.970149253731343,"0/1,","Klamath"
100051471,"City of Chiloquin, Council, Position 6",NA,NA,NA,"City of Chiloquin",14,NA,9901,"Write-in","11/9/2022 10:05:07 AM",1,4,0.0645161290322581,"0/1,","Klamath"
100051471,"City of Chiloquin, Council, Position 6",NA,NA,NA,"City of Chiloquin",14,NA,100064129,"Kevin Ketner","11/9/2022 10:05:07 AM",1,58,0.935483870967742,"0/1,","Klamath"
