"ContestID","ContestName","NominatingParty","PartyCode","AreaType","AreaNum","OfficeSeqNo","BallotOrder","CandidateID","CandidateName","CurrentDateTime","VoteFor","CandidateVotes","CandidatePercentage","PrecinctsReporting","County"
100051746,"US Senator",NA,NA,NA,"Federal",1,NA,9901,"Write-in","11/9/2022 10:05:56 AM",1,241,0.00101669317381235,"0/1279,","Multnomah"
100051746,"US Senator","Democrat, Independent",NA,NA,"Federal",1,NA,300018095,"Ron Wyden","11/9/2022 10:05:56 AM",1,186054,0.784895567470881,"0/1279,","Multnomah"
100051746,"US Senator","Pacific Green",NA,NA,"Federal",1,NA,100085953,"Dan Pulju","11/9/2022 10:05:56 AM",1,2702,0.0113987757495476,"0/1279,","Multnomah"
100051746,"US Senator","Progressive",NA,NA,"Federal",1,NA,100085955,"Chris Henry","11/9/2022 10:05:56 AM",1,5128,0.0216332057896669,"0/1279,","Multnomah"
100051746,"US Senator","Republican, Constitution",NA,NA,"Federal",1,NA,100083988,"Jo Rae Perkins","11/9/2022 10:05:56 AM",1,42918,0.181055757816092,"0/1279,","Multnomah"
100051747,"US Representative, 1st District",NA,NA,NA,"US Representative 1st District",2,NA,9901,"Write-in","11/9/2022 10:05:56 AM",1,105,0.00197068373341341,"0/219,","Multnomah"
100051747,"US Representative, 1st District","Democrat, Working Families",NA,NA,"US Representative 1st District",2,NA,300024797,"Suzanne Bonamici","11/9/2022 10:05:56 AM",1,46763,0.877667461196299,"0/219,","Multnomah"
100051747,"US Representative, 1st District","Republican",NA,NA,"US Representative 1st District",2,NA,100083995,"Christopher A Mann","11/9/2022 10:05:56 AM",1,6413,0.120361855070288,"0/219,","Multnomah"
100051749,"US Representative, 3rd District",NA,NA,NA,"US Representative 3rd District",3,NA,9901,"Write-in","11/9/2022 10:05:56 AM",1,269,0.00163196466705494,"0/109,","Multnomah"
100051749,"US Representative, 3rd District","Democrat",NA,NA,"US Representative 3rd District",3,NA,100067959,"Earl Blumenauer","11/9/2022 10:05:56 AM",1,122766,0.744794700058241,"0/109,","Multnomah"
100051749,"US Representative, 3rd District","Progressive, Independent, Pacific Green",NA,NA,"US Representative 3rd District",3,NA,100085956,"David E Delk","11/9/2022 10:05:56 AM",1,5462,0.0331367695593089,"0/109,","Multnomah"
100051749,"US Representative, 3rd District","Republican",NA,NA,"US Representative 3rd District",3,NA,100084002,"Joanna Harbour","11/9/2022 10:05:56 AM",1,36335,0.220436565715395,"0/109,","Multnomah"
100051751,"US Representative, 5th District",NA,NA,NA,"US Representative 5th District",4,NA,9901,"Write-in","11/9/2022 10:05:56 AM",1,41,0.00239402078710732,"0/237,","Multnomah"
100051751,"US Representative, 5th District","Democrat, Independent, Working Families",NA,NA,"US Representative 5th District",4,NA,100084013,"Jamie McLeod-Skinner","11/9/2022 10:05:56 AM",1,13527,0.789851687492701,"0/237,","Multnomah"
100051751,"US Representative, 5th District","Republican",NA,NA,"US Representative 5th District",4,NA,100084017,"Lori Chavez-DeRemer","11/9/2022 10:05:56 AM",1,3558,0.207754291720192,"0/237,","Multnomah"
100051753,"Governor",NA,NA,NA,"Statewide Partisan",6,NA,9901,"Write-in","11/9/2022 10:05:56 AM",1,285,0.00119454282540814,"0/1279,","Multnomah"
100051753,"Governor","Constitution",NA,NA,"Statewide Partisan",6,NA,100085998,"Donice Noelle Smith","11/9/2022 10:05:56 AM",1,476,0.00199509608734832,"0/1279,","Multnomah"
100051753,"Governor","Democrat, Working Families",NA,NA,"Statewide Partisan",6,NA,100084063,"Tina Kotek","11/9/2022 10:05:56 AM",1,169938,0.71227445145336,"0/1279,","Multnomah"
100051753,"Governor","Libertarian",NA,NA,"Statewide Partisan",6,NA,100086000,"R Leon Noble","11/9/2022 10:05:56 AM",1,506,0.00212083743739129,"0/1279,","Multnomah"
100051753,"Governor","Nonaffiliated",NA,NA,"Statewide Partisan",6,NA,100086002,"Betsy Johnson","11/9/2022 10:05:56 AM",1,17919,0.075105308380661,"0/1279,","Multnomah"
100051753,"Governor","Republican",NA,NA,"Statewide Partisan",6,NA,100084049,"Christine Drazan","11/9/2022 10:05:56 AM",1,49461,0.207309763815831,"0/1279,","Multnomah"
100051763,"State Senator, 16th District",NA,NA,NA,"SD 16",7,NA,9901,"Write-in","11/9/2022 10:05:56 AM",1,0,0,"0/101,","Multnomah"
100051763,"State Senator, 16th District","Democrat, Independent",NA,NA,"SD 16",7,NA,100084086,"Melissa Busch","11/9/2022 10:05:56 AM",1,708,0.612456747404844,"0/101,","Multnomah"
